id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)"
554a8a93-91e2-4c45-9e87-bac0fbfb839e,IRWIN,2023-11-20 02:03,"RVC, N PERRIS BL / SPECTRUM IC Riverside",RVC,LOCAL,Riverside,6.0,"33.8168548863691, -117.22619399516",,,
g18-2023-11-20T10:30:21+00:00,GOES,2023-11-20 02:30,"High Probability, Santa Barbara County, 69 MW",AFV,FEDERAL,Santa Barbara,1.0,"34.6872, -120.5458",,,
g18-2023-11-20T10:31:18+00:00,GOES,2023-11-20 02:31,"Processed, Santa Barbara County, 121 MW",SBC,STATE,Santa Barbara,1.0,"34.6938, -120.3272",,,
g18-2023-11-20T10:32:26+00:00,GOES,2023-11-20 02:32,"Processed, Santa Barbara County, 157 MW",CND,FEDERAL,Santa Barbara,1.0,"34.6712, -120.2602",,,
a65c2e7f-3d9c-43cd-85b1-a48c2541cad6,IRWIN,2023-11-20 02:41,"HIG, BOULDER AV / BASELINE ST IC San Bernardino",HIG,LOCAL,San Bernardino,6.0,"34.1212359230471, -117.195545014398",,,
1657925156,PulsePoint,2023-11-20 03:40,"LAC, SB 14 AT AVENUE J-8--UC ,",LAC,LOCAL,Los Angeles,1.0,"34.68219, -118.1646",,,
1657993770,PulsePoint,2023-11-20 06:13,"LAC, E 223RD ST & S ALAMEDA ST, CARSON",LAC,LOCAL,Los Angeles,1.0,"33.824580000000005, -118.22845000000001",Urban,Rawaf,
1658068602,PulsePoint,2023-11-20 08:12,"LAC, S SANTA FE AVE & 91 FWY, COMPTON",LAC,LOCAL,Los Angeles,1.0,"33.872930000000004, -118.21428",Urban,Rawaf,
1658073167,PulsePoint,2023-11-20 08:17,"LAC, NB 57 NO TEMPLE AV ,",LAC,LOCAL,Los Angeles,1.0,"34.04682, -117.8006",Urban,Rawaf,
1658082784,PulsePoint,2023-11-20 08:28,"LAC, W EL SEGUNDO BLVD & 405 FWY, HAWTHORNE",LAC,LOCAL,Los Angeles,1.0,"33.91639, -118.36940000000001",Urban,Rawaf,
1658112881,PulsePoint,2023-11-20 09:03,"LAC, WB 91 TO 605 FW",LAC,LOCAL,Los Angeles,1.0,"33.87899, -118.1027",Urban,Rawaf,
