id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)"
72974bb5-bd3c-4e25-9a5b-adfddba43dbc,IRWIN,2023-12-25 03:50,"RVC, BORCHARD RD / GRAND AV IC Riverside",RVC,LOCAL,Riverside,6.0,"33.6208548588452, -117.315426995099",,,
93a8d283-a09e-48b8-bf6d-a924b235d2da,IRWIN,2023-12-25 10:57,"RVC, AVE 66  / HY 86S IC Riverside",RVC,LOCAL,Riverside,6.0,"33.5693519191677, -116.092371777394",Agriculture / farm,Rawaf,
169cf691-1aa2-465d-b1fa-64b71b078f17,IRWIN,2023-12-25 11:00,"RRU, GIBBEL RD / POLLY BUTTE RD IC Riverside",RRU,STATE,Riverside,6.0,"33.6952698879038, -116.94202293639",Nothing on cameras,Rawaf,
d67d0b59-252f-4513-a2c3-4387c88b6c8d,IRWIN,2023-12-25 15:06,"RRU, GENTLE WIND DR  COR IC Riverside",RRU,STATE,Riverside,6.0,"33.7929848682691, -117.503823040954",Nothing on radio,Erin,
13345f30-f19b-4bf5-95cc-5159438be657,IRWIN,2023-12-25 15:57,"RRU, PAUBA RD  RANC IC Riverside",RRU,STATE,Riverside,6.0,"33.5179148611479, -117.052838941818",Unable to locate (UTL),Erin,
c29b830b-c5ce-4750-a86c-4fb197b1951a,IRWIN,2023-12-25 16:17,"BDU, E COUNTRY CLUB BL  BIG_BEAR_LAKE_AREA IC San Bernardino",BDU,STATE,San Bernardino,6.0,"34.2626759604369, -116.823319961409",Nothing on cameras,Erin,
1692402150,PulsePoint,2023-12-25 16:52,"LAC, PEARBLOSSOM HWY & LONGVIEW RD, PEARBLOSSOM",LAC,LOCAL,Los Angeles,1.0,"34.506409999999995, -117.89655000000002",Dirt / desert,Erin,
1692402150,PulsePoint,2023-12-25 16:52,"LAC, LONGVIEW RD & E PALMDALE BLVD, LITTLEROCK",LAC,LOCAL,Los Angeles,1.0,"34.57992, -117.88961",Urban,Erin,
1692402150,PulsePoint,2023-12-25 16:52,"LAC, 126TH ST E & E AVENUE S, LITTLEROCK",LAC,LOCAL,Los Angeles,1.0,"34.55782000000001, -117.90547",Urban,Erin,
1588a59e-8e79-4e6e-a2d9-4899fc60fb49,IRWIN,2023-12-25 18:01,"RVC, ESTRELLA. IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9568979427125, -116.505009880763",Urban,Treva,
1692457279,PulsePoint,2023-12-25 18:10,"LAC, NB 5 AT WASHINGTON BLVD ,",LAC,LOCAL,Los Angeles,1.0,"33.99525, -118.1448",Agriculture / farm,Treva,desert
39d99653-16d7-447f-a957-484a215eef1c,IRWIN,2023-12-25 18:11,"RVC, HY 111   MECC IC Riverside",RVC,LOCAL,Riverside,6.0,"33.5635319195118, -116.072996773505",Urban,Treva,
e6142e8c-63e1-4e50-b11a-3c8d3b7bb5e4,IRWIN,2023-12-25 18:42,"RVC, 16 IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9321979392724, -116.514577880467",Dirt / desert,Treva,Discovery at 17:34
6f987166-bc8d-4a19-9b17-6306004bf0f4,IRWIN,2023-12-25 19:28,"RVC, JEFFERSON AV  TEM IC Riverside",RVC,LOCAL,Riverside,6.0,"33.5150618550321, -117.159736960075",Urban,Treva,
1692657248,PulsePoint,2023-12-25 23:46,"LFD, 1381 N BROADWAY, Los Angeles",LFD,LOCAL,Los Angeles,1.0,"34.071003, -118.23016",,,
5a1cef40-b3b1-4e68-ad3a-6a5da3693bc5,IRWIN,2023-12-26 06:48,"RVC, WALLACE ST / MISSION BL IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9946288969522, -117.402070039667",,,
35fe3db5-01a0-4fb1-9c8f-dc6b48cbe5ad,IRWIN,2023-12-26 07:29,"SDU, TREE IC San Diego",SDU,STATE,San Diego,6.0,"33.2360998432932, -116.765292870458",Other - Enter reason,Chesa,Old alert
fe6363df-09c1-451a-8c81-5a17f11f19dc,IRWIN,2023-12-26 08:08,"RVC, CAJALCO RD / SEATON AV IC Riverside",RVC,LOCAL,Riverside,6.0,"33.8373658867691, -117.261631002898",Nothing on radio,Chesa,
4355ca01-63f5-4f52-848f-284df94c92b0,IRWIN,2023-12-26 10:07,"RVC, N PERRIS BL /E MORGAN ST IC Riverside",RVC,LOCAL,Riverside,6.0,"33.8373258887341, -117.22609199677",Urban,Chesa,
06bee46c-0df4-40fb-97e9-116ed50351f1,IRWIN,2023-12-26 12:17,"RRU, HY 74  W/ WASSON CANYON RD IC Riverside",RRU,STATE,Riverside,6.0,"33.7162998706887, -117.300316999976",Unable to locate (UTL),Chesa,
32069c9d-b007-4cbd-b47d-78ed0fbe96e8,IRWIN,2023-12-26 13:30,"ANF, BALDY IC San Bernardino",ANF,FEDERAL,San Bernardino,6.0,"34.2700879156597, -117.621922099893",Nothing on radio,Chesa,
b94cf556-f1c0-4c2b-95de-e94ef6652ba0,IRWIN,2023-12-26 13:49,"RVC, AVOCADO WY  HOMG IC Riverside",RVC,LOCAL,Riverside,6.0,"33.8605558793673, -117.4429110359",Other - Enter reason,Chesa,Old alert
