id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)"
1824251408,PP,2024-05-01 13:46,"100TH ST W & HAMILTON RD, KERN COUNTY, C",Kern County,LOCAL,Kern,5.0,N 34° 53.559' W 118° 18.553',Dirt / desert,Jess,
1824645740,PP,2024-05-01 20:03,"2601 S MT VERNON AVE, BAKERSFIELD, CA",Kern County,LOCAL,Kern,5.0,N 35° 19.666' W 118° 57.992',Agriculture / farm,Jess,
,PP,2024-05-02 7:35,"50802 280th St W, Lancaster, CA, 93536, USA",LAC,STATE,Los Angeles,,N 34° 48.328' W 118° 37.397',Other - Enter reason,Rawaf,"Burning for days, multiple satellite detections from earlier this week..."
,PP,2024-05-02 7:53,"5300 Figueroa Mountain Rd, Los Olivos, CA, 93441, USA",SBC,STATE,Santa Barbara,1.0,N 34° 44.190' W 120° 5.056',Knockdowns,Rawaf,"Reported out by locals, reduecd to single resource... Smoke visible, no AVL available, no AA... PP alert closed @ 8:30."
,PP,2024-05-02 8:37,"1514 Watts Dr, Bakersfield, CA, 93307, USA",KC ,LOCAL,Kern,5.0,N 35° 19.929' W 118° 58.942',Agriculture / farm,Rawaf,Surrounded by urban.
,PP,2024-05-02 9:11,"E Planz Rd & Lotus Ln, Bakersfield, CA, 93307, USA",KC ,LOCAL,Kern,5.0,N 35° 19.496' W 118° 59.393',Fusion Center Instruction,Rawaf,"""In the same area [as 8:37 Kern PP].  Sounds like an arsonist.  Same deal though, nowhere to go.  Urban/ag."""
,PP,2024-05-02 10:27,"Decatur St & Airport Dr, Bakersfield, CA, 93308, USA",KC ,LOCAL,Kern,5.0,N 35° 24.735' W 119° 2.337',Urban,Rawaf,
,PP,2024-05-02 14:45,"100th St W & Hamilton Rd, Rosamond, CA, 93560, USA",KC ,LOCAL,Kern,5.0,N 34° 53.559' W 118° 18.553',Knockdowns,Rawaf,"Radio says fire contained, two units can handle."
1825456502,PP,2024-05-02 15:55,"Locust St & State HWY 58, Kinkley, CA, ",SBCo,LOCAL,San Beranrdino,6.0,34°55′19″N 117°11′42″W,No potential / nowhere to go,MAC,"Per radio, 40x40 strip.  no potential. cxl balance."
,Watch Duty,2024-05-02 16:20,"Road 236 & Avenue 224, Lindsay, CA, 93247, USA",TUU,LOCAL,Tulare ,5.0,N 36° 11.776' W 119° 2.784',Knockdowns,Rawaf,"236/Lindsay IC: Smoke visible... 1 acre grass fire w/ vehicles + workshop involved, 1 additional engine requested... Fire contained @ 4:35."
,Watch Duty,2024-05-02 16:18,"Avenue 208 & Road 188, Lindsay, CA, 93247, USA",TUU,LOCAL,Tulare ,5.0,N 36° 10.035' W 119° 9.172',Agriculture / farm,Rawaf,"188 IC: Reported wheat field on fire w/ smoke showing... half acre within 100 acre wheatfield, limited threat to structures... Fire contained @ 4:32."
1825537751,PP,2024-05-02 16:20,"Beyer Blvd & Palm Ave, San Diego, CA, 92154, USA",SDFD,LOCAL,San Diego,6.0,N 32° 35.028' W 117° 4.266',Urban,Rawaf,
1825723097,PP,2024-05-02 19:32,"Cottonwood rd & Pacheco Rd, Bakersfield, CA",KC ,LOCAL,Kern,5.0,N 35° 18.628' W 118° 59.135',No potential / nowhere to go,Treva,"small grass fire contained by brick wall, can handle"
,PP,2024-05-02 20:08,"14 SOUTH HWY, 14 S OFF TO ROSAMOND RAMP  & 14 SOUTH HWY, 14 S ON FR BACKUS RAMP, KERN COUNTY, CA",KC ,LOCAL,Kern,5.0,N 34° 54.213' W 118° 9.877',Pushed,Treva,"Unknown IC, hung up on barrier, limited potential"
,PP,2024-05-03 11:15,"E Brundage Ln & Kincaid St, Bakersfield, CA, 93307, USA",KC ,LOCAL,Kern,5.0,N 35° 21.235' W 118° 59.582',Urban,Rawaf,
1826397637,PP,5/3/2024 12:11:47,"10800 Pitts Ave, Bakersfield, CA",KC ,LOCAL,Kern,5.0,N 35° 24.994' W 118° 53.045',Knockdowns,MAC,
,PP,5/3/2024 15:03:00,"Pequena St & Marzo St, San Diego, CA, 92154, USA",SDFPD,LOCAL,San Diego,6.0,N 32° 34.218' W 117° 3.159',Urban,Rawaf,
,PP,5/3/2024 15:34:00,"Silver Queen Rd & CA-14 N, Mojave, CA, 93501, USA",KC ,FEDERAL,Kern,5.0,N 34° 59.728' W 118° 9.567',Knockdowns,Rawaf,"Units on scene here 35.00201, -118.16820"
,PP,5/3/2024 16:58:00,"Houghton Rd & Gosford Rd, Bakersfield, CA, 93311, USA",KC ,LOCAL,Kern,5.0,N 35° 14.279' W 119° 5.535',Agriculture / farm,Rawaf,
,PP,5/3/2024 17:15:00,"100th St W & W Avenue A, Rosamond, CA, 93560, USA",KC ,LOCAL,Kern,5.0,N 34° 49.204' W 118° 18.520',Knockdowns,Rawaf,Units in route have smoke showing. Waiting for size up... Can handle with units on scene.
1826718261,PP,5/3/2024 17:25:00,"6150 Skyline Dr, San Diego, CA, 92114, USA",SDFD,LOCAL,San Diego,6.0,N 32° 42.086' W 117° 3.899',Urban,Rawaf,
,PP,5/4/2024 9:33:00,"Wagon Wheel Rd & N Ventura Rd, Oxnard, CA, 93036, USA",VCRD,LOCAL,Ventura,1.0,N 34° 14.466' W 119° 11.266',Urban,Rawaf,Urban riverbed.
,PP,5/4/2024 9:33:00,"Pioneer Dr & Monica St, Bakersfield, CA, 93306, USA",KC ,LOCAL,Kern,5.0,N 35° 22.140' W 118° 54.316',Pushed,Rawaf,"Smoke visible at edge of WUI... No name yet, 5-10 acres @ 12:36... Located at 35.37014, -118.89823... FROS stopped @ 12:50."
1828600709,PP,2024-05-05 13:25,"Weiser Rd, 33 Hwy & 33 Hwy, Almond Rd, Kern County, CA",KC ,LOCAL,Kern,5.0,N 35° 42.861' W 119° 56.036',Other - Enter reason,Treva,"Small grass fire, released resources"
,PP,2024-05-06 7:31,"Truxtun Ave & Mohawk St, Bakersfield, CA, 93309, USA",KC ,LOCAL,Kern,5.0,N 35° 21.912' W 119° 3.936',Urban,Rawaf,"Also, riverbed."
,PP,2024-05-06 11:38,"Jolon Rd & Old Jolon Grade, King City, CA, 93930, USA",SMCFPD,STATE,Monterey,2.0,N 36° 5.722' W 121° 9.777',Fusion Center Instruction,Rawaf,"No good views... ""Roadside spots. Canceling most resources."""
1829627580,PP,5/6/2024 12:57:17,"5615 Bussell Rd, Bakersfield, CA, 93314, USA",Kern County,LOCAL,Kern,5.0,N 35° 24.670' W 119° 18.340',Agriculture / farm,MAC,Nothing on camera
,PP,2024-05-06 14:06,"CA-46 & Buena Vista Dr, Paso Robles, CA, 93446, USA",SLOCO,LOCAL,San Luis Obispo,1.0,N 35° 38.666' W 120° 40.351',Knockdowns,Rawaf,"Smoke visible roadside, now disspiated."
,PP,2024-05-06 14:40,"COTTONWOOD RD & BROOK ST, BAKERSFIELD, CA",KC ,LOCAL,Kern,5.0,N 35° 19.279' W 118° 59.126',Urban,Rawaf,
,PP,2024-05-06 16:48,"Redbank Rd & S Edison Rd, Bakersfield, CA, 93307, USA",KC ,LOCAL,Kern,5.0,N 35° 20.398' W 118° 52.719',Agriculture / farm,Rawaf,
,PP,2024-05-07 14:48,"Contractors Rd & Pole Line Rd, Lost Hills, CA, 93249, USA",KC ,STATE,Kern,5.0,N 35° 29.066' W 119° 44.439',Knockdowns,Rawaf,"No smoke visible, dark patch with what appear to be locals. AVL approaching..."
,PP,2024-05-07 14:48,"Dustin Acres Rd & Highway 119, Taft, CA, 93268, USA",KC ,LOCAL,Kern,5.0,N 35° 13.031' W 119° 23.635',Knockdowns,Rawaf,"Smoke dissipating, units already on scene at updated address: 27937 119 HWY, DAC, CA."
1831995362,PP,2024-05-08 15:25,"Bitterwater Valley Road & Kecks Road, Lost Hills, CA 93249",KC,LOCAL,Kern,5.0,N 35° 39.109' W 119° 58.088',Agriculture / farm,MAC,
,PP,2024-05-10 9:57,"Metz Rd & Bryant Cyn, Soledad, CA, 93960, USA",BEU,LOCAL,Monterey,2.0,N 36° 25.573' W 121° 18.776',Agriculture / farm,Rawaf,
1833856775,PP,2024-05-10 10:35,"Interstate Highway 8 E & Hotel Cir S, San Diego, CA, 92108, USA",SDFD,LOCAL,San Diego,6.0,N 32° 45.601' W 117° 10.287',Urban,Rawaf,
,PP,2024-05-10 11:31,"Hageman Rd & Fruitvale Ave, Bakersfield, CA, 93308, USA",KC,LOCAL,Kern,5.0,N 35° 24.086' W 119° 4.459',Urban,Rawaf,
1834175140,PP,5/10/2024 15:27:00,"Entrance A & Lost Hills Rd, McKittrick, CA 93251",KC,LOCAL,Kern,5.0,N 35° 26.845' W 119° 41.348',No potential / nowhere to go,MAC,100 x 100 strip along road.  Cxl Balance.
,PP,2024-05-11 9:19,"1105 Roberts Ln, Bakersfield, CA, 93308, USA",KC,LOCAL,Kern,5.0,N 35° 24.508' W 119° 2.610',Urban,Rawaf,
,PP,2024-05-11 10:36,"3013 PEERLESS AVE, BAKERSFIELD, CA",KC,LOCAL,Kern,5.0,N 35° 26.044' W 119° 1.214',Urban,Eric,
,PP,2024-05-11 10:44,"2260 S Union Ave, Bakersfield, CA, 93307, USA",KC,LOCAL,Kern,5.0,N 35° 19.213' W 119° 0.070',Urban,Eric,
,PP,2024-05-11 10:50,"DIRT RD, JAWBONE CANYON RD & 14 HWY, KERN COUNTY, CA",KC,LOCAL,Kern,5.0,N 35° 18.917' W 118° 4.319',No potential / nowhere to go,Eric,"not a whole lot of potential, radio report was small roadside"
1836420853,PP,2024-05-12 14:50,"WB 53 EO Mast, San Diego, CA",SDFD,LOCAL,San Diego,6.0,N 32° 50.294' W 117° 1.325',No potential / nowhere to go,Treva,"cancelled response, small grass fire"
