id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)",Unnamed: 9
92219ba8-f4ae-4e67-9aae-f1efa5e9fa41,IRWIN,2023-01-04 16:40,"RRU, SAGE RD / POWERLINE RD IC Riverside",RRU,STATE,Riverside,6,"33.5133758689134, -116.899336914843",Fusion Center Instruction,Libraty,,
cc9e46b9-d8b0-4df8-8cb2-c85d282f6a8e,IRWIN,2023-01-04 17:21,"RRU, PALM IC Riverside",RVC,LOCAL,Riverside,6,"33.9304379397791, -116.501728878067",Dirt / desert,Daniel,"Also, old",
9da87b95-7e68-4f99-84cd-42fcebda22bf,IRWIN,2023-01-04 18:23,"SKU, SHACKLEFORD IC Siskiyou",SKU,STATE,Siskiyou,3,"41.5992221884429, -122.972113816388",Other - Enter reason,Daniel,Old,
71c64905-57ee-4d29-8c78-c1f351578509,IRWIN,2023-01-04 19:01,"RRU, CACTUS AV / COMMERCE CENTER DR IC Riverside",RVC,LOCAL,Riverside,6,"33.9099868944009, -117.274498010915",Urban,Daniel,,
879ef379-c267-400a-93a9-03b560dba373,IRWIN,2023-01-04 20:53,"RRU, GRAND AV / ROME HILL RD IC Riverside",RVC,LOCAL,Riverside,6,"33.6257688589887, -117.323195996818",Urban,Daniel,"Also, old",
b614330c-6186-435e-b5a6-7f67821c0c93,IRWIN,2023-01-04 21:39,"RRU, S 8TH ST /W LINCOLN ST IC Riverside",RVC,LOCAL,Riverside,6,"33.9241369174241, -116.890446945558",,,,
5fb82861-1f0c-4bb3-8884-9078a69c09b8,IRWIN,2023-01-05 03:10,"RRU, TOLTON AV  HOMG IC Riverside",RVC,LOCAL,Riverside,6,"33.8781578771772, -117.518394050234",,,,
2ff95ed7-649e-423e-bc3b-9071deceaae6,IRWIN,2023-01-05 12:20,"RRU, TWO BUNCH PALMS TRL / LITTLE MORONGO RD IC Riverside",RVC,LOCAL,Riverside,6,"33.9395739403924, -116.510052880261",,,,
d3f0688e-ca9d-4c2c-a349-de98510b27e2,IRWIN,2023-01-05 13:50,"RRU, 34TH ST / WALLACE ST IC Riverside",RVC,LOCAL,Riverside,6,"34.0022378987098, -117.386212037559",,,,
655eac96-4817-4007-9be4-7b8294f15473,IRWIN,2023-01-05 15:11,"RRU, RIVERSIDE DR  LELS IC Riverside",RVC,LOCAL,Riverside,6,"33.6798848626239, -117.37080700923",,,,
853aac2a-735a-4244-841c-60b6db5d2e30,IRWIN,2023-01-05 18:10,"RRU, HY 74  E HEM IC Riverside",RVC,LOCAL,Riverside,6,"33.7477108951042, -116.922380937098",,,,
23595329-65ce-4d8d-8175-384e0458b82a,IRWIN,2023-01-05 19:13,"RRU, DILLON RD / VISTA DEL NORTE IC Riverside",RVC,LOCAL,Riverside,6,"33.7164979325796, -116.171041802772",,,,
62428935-7f84-4030-8c1f-c519489f8d48,IRWIN,2023-01-05 23:16,"HUU, BERG IC Humboldt",HUU,STATE,Humboldt,2,"40.9042300723362, -123.760129825967",,,,
3d94e560-d7b8-4801-9a12-94248d12e48d,IRWIN,2023-01-06 07:29,"RRU, HY 111   INDO IC Riverside",RVC,LOCAL,Riverside,6,"33.7148849292977, -116.227593812662",Urban,Daniel,,
3cc9cfbf-0bd8-4d20-b3c1-6f5adb0afa73,IRWIN,2023-01-06 10:56,"RRU, VILLAGE CENTER DR  IDYL IC Riverside",RRU,STATE,Riverside,6,"33.7434619061737, -116.711787900061","Other non-veg (e.g., vehicle, trash, etc)",Daniel,Diesel exhaust,
5d37f8fc-2f27-4e57-b814-37dc42235c13,IRWIN,2023-01-06 14:43,"RRU, HARRISON IC Riverside",RVC,LOCAL,Riverside,6,"33.6449939234524, -116.181225799004",Urban,crawl,,
f29b9522-1bdc-459f-8704-b7034cf574e4,IRWIN,2023-01-06 15:42,"RRU, CIRCLE DR  INDO IC Riverside",RVC,LOCAL,Riverside,6,"33.7315199321199, -116.212352811266",Urban,crawl,,
f78615a2-684b-4fab-8eeb-02b4fed58b0c,IRWIN,2023-01-06 16:05,"RRU, OLIVE TREE LN  LVIL IC Riverside",RRU,STATE,Riverside,6,"33.6172678586689, -117.311061994069",Fusion Center Instruction,Rawaf,Urban,
