id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)"
95e57aeb-2bef-413e-be16-e80b22c8250f,IRWIN,2023-04-24 02:55,"RVC, DEXTER AV  LELS IC Riverside",RVC,LOCAL,Riverside,6.0,"33.6932268660606, -117.336167004327",,,
4b5ef30e-dc3f-4ca1-990e-06e130d00f37,IRWIN,2023-04-24 03:25,"RVC, SHERMAN AV  MOVA IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9189558954367, -117.274384011615",,,
g18-2023-04-24T15:50:21+00:00,GOES,2023-04-24 08:50,"Processed, Kern County, 25 MW",SQF,FEDERAL,Kern,5.0,"35.6984, -118.4252",Fusion Center Instruction,Dawn,
cc80bca6-c995-4268-8df4-da944fb6dc0a,IRWIN,2023-04-24 08:59,"RVC, EL TORO RD  LELS IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7027048665235, -117.34762300704",No potential / nowhere to go,Dawn,
1468022030,PulsePoint,2023-04-24 12:03,"LFD, 50 EB 118 FWY, Los Angeles",LFD,LOCAL,Ventura,1.0,"34.267106, -118.63527",Other - Enter reason,Dawn,vehicle
759f12f4-9482-4b4b-b384-a751241a0325,IRWIN,2023-04-24 12:16,"SHU, OAK RUN RD / HWY 299  E IC Shasta",SHU,STATE,Shasta,3.0,"40.7556802096752, -122.025705545219",Knockdowns,Dawn,
3165be1e-2e9f-4644-a0a7-f024d4cdd8c2,IRWIN,2023-04-24 12:47,"BTU, EVE IC Butte",BTU,STATE,Butte,3.0,"39.7373591587185, -121.691775350615",Prescribed fire,Dawn,
acfc8ab5-ebb3-47d6-a716-22aac6d1b46c,IRWIN,2023-04-24 12:55,"LNU, FORD IC Sonoma",LNU,STATE,Sonoma,2.0,"38.3066829557255, -122.842552341113",Prescribed fire,Dawn,
38c6a189-036e-4199-80f6-b9ef0a2f0635,IRWIN,2023-04-24 13:16,"LNU, GIFFORD SPRINGS RD  COBB IC Lake",LNU,STATE,Lake,2.0,"38.8193530071386, -122.696803382996",Prescribed fire,Libraty,"Escaped burn pile, caught at 1/2 acre"
381e657d-de79-4e44-b051-f93995f5ba43,IRWIN,2023-04-24 13:25,"NEU, SCOTTS FLAT RD / HWY 20 IC Nevada",NEU,STATE,Nevada,4.0,"39.2865081812598, -120.945725174431",Prescribed fire,Libraty,
b008a9e4-9fb6-49e0-a367-a56bdb55e212,IRWIN,2023-04-24 13:44,"SHU, CLARK IC Shasta",SHU,STATE,Shasta,3.0,"41.0001422613795, -121.633706520621",Prescribed fire,Libraty,
g18-2023-04-24T20:46:18+00:00,GOES,2023-04-24 13:46,"Processed, San Luis Obispo County, 37 MW",SLU,STATE,San Luis Obispo,1.0,"35.3604, -120.3831",Prescribed fire,Libraty,
g18-2023-04-24T20:46:18+00:00,GOES,2023-04-24 13:46,"Processed, Kern County, 104 MW",KRN,LOCAL,Kern,5.0,"35.1305, -119.0",Other - Enter reason,Libraty,Repeat
c6e36f3c-532f-4c4c-a184-c696c0dc2b4d,IRWIN,2023-04-24 14:01,"LNU, DIENER DR /S HWY 29 IC Lake",LNU,STATE,Lake,2.0,"38.9058910158736, -122.67122939016",Knockdowns,Libraty,First Unit canclled all incoming units
613ab53f-173a-41d1-9d6b-408d5aabb6f1,IRWIN,2023-04-24 14:34,"MDA, HWY 99  N/ CLEVELAND AV OFF RAMP NB IC Madera",MDA,LOCAL,Madera,5.0,"36.972158039874, -120.073265762053",Urban,Libraty,
ccebcea0-2767-4876-bd26-1ff59ebbd7e1,IRWIN,2023-04-24 14:50,"FKU, SILVER IC Fresno",FKU,LOCAL,Fresno,5.0,"36.2001299644555, -120.101000686504",Urban,Libraty,urban / ag mixed fuels
