id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)"
d383bf43-f330-441c-a653-993c2d81c17a,IRWIN,2023-05-08 00:58,"RVC, MT BALDY ST  PERR IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7845988809727, -117.256555997835",,,
f1012e67-a39d-4871-8914-9430baedd257,IRWIN,2023-05-08 01:56,"RRU, LAKE MATHEWS RESERVE VMP IC Riverside",RRU,STATE,Riverside,6.0,"33.855466881076, -117.401679028421",,,
b0e9f0bc-ee8c-4ec0-b707-be03ecfffbff,IRWIN,2023-05-08 04:50,"REE, BUTTON IC Fresno",REE,LOCAL,Fresno,5.0,"36.6065050485026, -119.430855619521",,,
6e434b45-6122-4e74-ad8e-594efe92bec3,IRWIN,2023-05-08 07:17,"CND, GARDNER 2 IC Kern",CND,FEDERAL,Kern,5.0,"35.1332219018678, -119.417412474341",,,
1479147907,PulsePoint,2023-05-08 09:54,"LAC, 37140 N 47TH ST E, PALMDALE",LAC,LOCAL,Los Angeles,1.0,"34.55761000000254, -118.04517499988583",,,
{954B5CC7-7A4C-4023-885E-598F268402F3},Intterra FIRIS,2023-05-08 10:51,64acres Training_050820231704Z PERIM,RVC,LOCAL,Riverside,6.0,"33.63067200151828, -116.16609702113306",,,
23afd0cb-c01c-4b9d-84aa-06a9a322a4d2,IRWIN,2023-05-08 11:28,"RVC, CRESTMORE IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9860598952101, -117.415714041316",,,
0b8d8d5a-1d08-4038-a094-09b7976e26c5,IRWIN,2023-05-08 13:37,"CZU, LA HONDA RD  SAN_GREGORIO IC San Mateo",CZU,STATE,San Mateo,2.0,"37.3205749122154, -122.339013151505",Nothing on cameras,Libraty,High RH's
c2893bee-4c9b-48b4-9ff0-17d84ada67f5,IRWIN,2023-05-08 13:59,"MDA, HWY 99  N/ GATEWAY DR MADERA OFF RAMP IC Madera",MDA,LOCAL,Madera,5.0,"36.946508039435, -120.044535754697",Urban,Libraty,
0536df27-68e6-40c4-9aff-a7ff80b9ea7e,IRWIN,2023-05-08 16:18,"RVC, N PERRIS BL  PERR IC Riverside",RVC,LOCAL,Riverside,6.0,"33.8027118847372, -117.226215994041",Urban,Libraty,
f9973041-5ea5-4949-90b6-7c5239671c1d,IRWIN,2023-05-08 16:32,"BDU, SHEEP IC San Bernardino",BDU,STATE,San Bernardino,6.0,"34.4481289384513, -117.572765106405",Urban,Sierra,
e6c89e5e-42af-4e21-a877-2ff033832975,IRWIN,2023-05-08 17:41,"RVC, VARNER IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7581829307565, -116.295389828045",Urban,Sierra,
fe6504e3-6b89-410c-b5ba-997bb3a12113,IRWIN,2023-05-08 19:00,"TCU, LAKE IC Stanislaus",TCU,STATE,Stanislaus,4.0,"37.648412072806, -120.492191903527",Nothing on cameras,Sierra,
a2094985-46ee-4cc3-bc98-889da4da98bb,IRWIN,2023-05-08 19:07,"SUS, APT-SUSAN RIVER APARTMENTS SUSANVILLE_CITY IC Lassen",SUS,LOCAL,Lassen,3.0,"40.4131082979882, -120.648997279894",Nothing on cameras,Sierra,
4f6e5472-65a7-4cda-8014-d46826b2d362,IRWIN,2023-05-08 19:16,"GRS, SIERRA IC Nevada",GRS,LOCAL,Nevada,4.0,"39.234886168609, -121.052261184527",Other - Enter reason,Sierra,old
7f77d0a9-8c14-4c96-a971-a2578fbab61f,IRWIN,2023-05-08 19:17,"HUU, HWY 299  / ESSEX LN IC Humboldt",HUU,STATE,Humboldt,2.0,"40.9068290486505, -124.037365866297",Nothing on cameras,Sierra,
bf90347b-02b4-47f0-a2f8-0fe2a997022b,IRWIN,2023-05-08 19:17,"TNF, BAKER IC Yuba",TNF,FEDERAL,Yuba,3.0,"39.4665551806288, -121.143263229074",Other - Enter reason,Sierra,old
