id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)",Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
1758265480,PulsePoint,2024-02-25 21:26,"LAC, N 90TH ST E & E AVENUE J, LANCASTER",LAC,LOCAL,Los Angeles,1.0,"34.6902, -117.96972000000001",,,,,,,,,
1758265480,PulsePoint,2024-02-25 21:26,"LAC, N 90TH ST E & E AVENUE I, LANCASTER",LAC,LOCAL,Los Angeles,1.0,"34.70488, -117.96978000000001",,,,,,,,,
ac72d030-bbae-4d1f-bb46-3f9c5d2f6725,IRWIN,2024-02-25 22:19,"RVC, GRAPEFRUIT BL  COAC IC Riverside",RVC,LOCAL,Riverside,6.0,"33.6929079288544, -116.187517803849",,,,,,,,,
9877a144-9e8c-42f1-a630-5b1e6ac9c3af,IRWIN,2024-02-25 23:32,"RVC, KENTUCKY AV / TENNESSEE AV IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7323559262809, -116.320914830526",,,,,,,,,
d3f8ae82-fff4-48b5-a245-237cd2c1d908,IRWIN,2024-02-26 00:39,"RVC, CALLE AVILA  / CALLE ZAMORA IC Riverside",RVC,LOCAL,Riverside,6.0,"33.6655229257807, -116.183690801037",,,,,,,,,
40e4dabf-48bc-4d65-9d68-32b4d6fc5a40,IRWIN,2024-02-26 03:35,"AEU, SUTTER IC Amador",AEU,STATE,Amador,4.0,"38.3927771170877, -120.788615037677",,,,,,,,,
72589c3f-90a5-460f-916e-6fe8b4e9e4c8,IRWIN,2024-02-26 07:00,"RVC, MONROE ST  INDO IC Riverside",RVC,LOCAL,Riverside,6.0,"33.710525928435, -116.233846813428",Urban,Rawaf,"Also, desert.",,,,,,
1758577077,PulsePoint,2024-02-26 07:53,"LAC, 2761 W AVENUE N-12, PALMDALE",LAC,LOCAL,Los Angeles,1.0,"34.62001000005396, -118.180415",Urban,Rawaf,"Also, desert.",,,,,,
1758639264,PulsePoint,2024-02-26 09:00,"LAC, W AVENUE E & N SIERRA HWY, LANCASTER",LAC,LOCAL,Los Angeles,1.0,"34.76247, -118.14696000000002",Dirt / desert,Rawaf,,,,,,,
3cc44de5-45c1-4d5a-9e6a-515e518db544,IRWIN,2024-02-26 11:09,"RVC, INDIO BL / CLINTON ST IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7342279307838, -116.242698816849",Urban,Rawaf,"Also desert, late: ""FireDiscoveryDateTime: 2024-02-26 10:27 PST""",,,,,,
8bd837c5-1d38-4294-a040-3592dfbda030,IRWIN,2024-02-26 12:30,"LNF, MOON IC Shasta",LNF,FEDERAL,Shasta,3.0,"40.860288269643, -121.410930465132",Other - Enter reason,Dawn,old 10:53 and snow on ground,,,,,,
1758981538,PulsePoint,2024-02-26 14:14,"LAC, W OLIVE ST & S LA CIENEGA BLVD, INGLEWOOD",LAC,LOCAL,Los Angeles,1.0,"33.95992, -118.37014",Urban,Rawaf,,,,,,,
f82dee86-187d-4f9d-af87-af771859fd4d,IRWIN,2024-02-26 21:14,"RVC, POLK ST / MARTINEZ RD IC Riverside",RVC,LOCAL,Riverside,6.0,"33.5617929152944, -116.147235786544",,,,,,,,,
fb9cd1f9-2371-4e70-a36e-643acd42817d,IRWIN,2024-02-26 22:02,"RVC, ALESSANDRO BL  MOVA IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9172108979241, -117.226169003165",,,,,,,,,
4e68c485-c320-4f7d-afd1-0319cfdd5841,IRWIN,2024-02-27 03:56,"RVC, HAMNER AV / RIVERBOAT DR IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9608538843503, -117.558337063709",,,,,,,,,
1759686926,PulsePoint,2024-02-27 06:01,"LAC, N 30TH ST W & W AVENUE I, LANCASTER",LAC,LOCAL,Los Angeles,1.0,"34.70398, -118.18380000000002",,,,,,,,,
