id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)"
2e80f6c4-365f-436e-a650-765be3b9af63,IRWIN,2023-03-06 00:19,"RVC, LIMONITE AV / VAN BUREN BL OFRP IC Riverside",RVC,LOCAL,Riverside,6,"33.9758108906753, -117.475786050789",,,
1429154365,PulsePoint,2023-03-06 06:14,"LFD, 420 SB 405 FWY, Los Angeles",LFD,LOCAL,Los Angeles,1,"34.186334, -118.47461",,,
3adbffc2-d130-4277-927b-70f6ff5262e8,IRWIN,2023-03-06 08:11,"RVC, N LANGSTAFF ST /W SUMNER AV IC Riverside",RVC,LOCAL,Riverside,6,"33.6723118640487, -117.328888001435",,,
1cffc7df-9270-4aee-8ee6-2f536ff22279,IRWIN,2023-03-06 08:55,"RRU, MORONGO CASINO RESORT AND SPA CABA IC Riverside",RRU,STATE,Riverside,6,"33.9199109218928, -116.801281929684",,,
bbf0bd6e-8552-440f-8f97-34241519f24e,IRWIN,2023-03-06 13:38,"RVC, GINGER LN / GRAND AV IC Riverside",RVC,LOCAL,Riverside,6,"33.6302138591099, -117.330375998398",Urban,Libraty,
df397270-fdf6-41fa-b1d2-70770de9a930,IRWIN,2023-03-06 17:45,"RVC, MENIFEE RD / ROUSE RD IC Riverside",RVC,LOCAL,Riverside,6,"33.7286228801522, -117.15403297573",,,
5119e480-5a54-435f-9571-7be06561d3a1,IRWIN,2023-03-06 22:04,"RVC, FILLMORE IC Riverside",RVC,LOCAL,Riverside,6,"33.5399309135766, -116.130266781853",,,
1cbc1228-1242-44d3-8c24-05c845ff2a2b,IRWIN,2023-03-06 23:01,"RVC, FILLMORE IC Riverside",RVC,LOCAL,Riverside,6,"33.547444914663, -116.126911781836",,,
7778f6cc-8963-4917-978c-327d0291e8dc,IRWIN,2023-03-06 23:25,"BDU, ASPEN DR  MORONGO IC San Bernardino",BDU,STATE,San Bernardino,6,"34.0650729529095, -116.549891897368",,,
1444571d-f649-4772-b89a-a4117e848564,IRWIN,2023-03-06 23:41,"RVC, PEDL9 IC Riverside",RVC,LOCAL,Riverside,6,"33.9669248911055, -117.450050045661",,,
aafa084a-784e-4163-96f3-17ce8cc25c89,IRWIN,2023-03-07 01:39,"RVC, S SANTA FE AV /W ESPLANADE AV IC Riverside",RVC,LOCAL,Riverside,6,"33.7730348958122, -116.963172946181",,,
1429998730,PulsePoint,2023-03-07 06:30,"LAC, W AVENUE J & N 30TH ST W, LANCASTER",LAC,LOCAL,Los Angeles,1,"34.6893, -118.18372999999998",,,
5f9c41d7-60f4-4372-9915-3f30a57a0d12,IRWIN,2023-03-07 06:47,"RVC, PALM AV / CHICAGO AV IC Riverside",RVC,LOCAL,Riverside,6,"33.7514448966675, -116.901871933826",,,
46e00036-7827-429f-b0bf-a04358775cd9,IRWIN,2023-03-07 08:40,"TEM, COASTAL CARDIOLOGY TEMP IC San Luis Obispo",TEM,LOCAL,San Luis Obispo,1,"35.5531838621641, -120.721431721569",,,
{4543847D-0BBC-4956-BC59-8DCBBE9E65D0},Intterra FIRIS,2023-03-07 08:44,bstrohbehn_ocfa bstrohbehn_ocfa,MVU,STATE,San Diego,6,"33.034206722867104, -117.20761348035941",,,
g18-2023-03-07T20:46:17+00:00,GOES,2023-03-07 12:46,"Processed, Imperial County, 73 MW",IMP,LOCAL,Imperial,6,"32.8908, -115.5097",,,
g18-2023-03-07T21:28:25+00:00,GOES,2023-03-07 13:28,"Medium Probability, San Diego County, 94 MW",BGO,LOCAL,San Diego,6,"33.293, -116.3243",,,
g18-2023-03-07T21:28:25+00:00,GOES,2023-03-07 13:28,"Medium Probability, San Diego County, 111 MW",BGO,LOCAL,San Diego,6,"33.2444, -116.3384",,,
1430326560,PulsePoint,2023-03-07 14:41,"LAC, W AVENUE D & N 40TH ST W, LANCASTER",LAC,LOCAL,Los Angeles,1,"34.776669999999996, -118.20218",,,
1430478703,PulsePoint,2023-03-07 18:40,"LAC, 27TH ST W & W AVENUE I, LANCASTER",LAC,LOCAL,Los Angeles,1,"34.70398, -118.17884",,,
1e4cb531-3e68-46ca-91fd-203ab487349e,IRWIN,2023-03-07 19:46,"RVC, PALO CEDRO DR  MOVA IC Riverside",RVC,LOCAL,Riverside,6,"33.8890888953892, -117.213591998743",,,
609e3f57-bc2c-4dff-8c9c-35ce9b4ef5ed,IRWIN,2023-03-07 23:03,"RVC, VAN BUREN BL / CLAY ST IC Riverside",RVC,LOCAL,Riverside,6,"33.9671658902036, -117.466643048525",,,
cfb6ad79-e9d0-4fa9-8a78-7a6140020b70,IRWIN,2023-03-08 00:32,"RVC, DIAMOND VALLEY RVP SANJ IC Riverside",RVC,LOCAL,Riverside,6,"33.7913198974642, -116.971822949128",Fusion Center Instruction,Dawn,skip
g18-2023-03-08T20:14:25+00:00,GOES,2023-03-08 12:14,"Partially Cloudy/Smoke, Kern County, 31 MW",KRN,LOCAL,Kern,5,"35.5871, -119.5182",Agriculture / farm,Libraty,
4f68a4a1-872c-4411-8dcc-9957a65b850c,IRWIN,2023-03-08 13:21,"CDD, VEG/RP/ IC San Bernardino",CDD,FEDERAL,San Bernardino,6,"34.7544549965286, -117.16781206292",Dirt / desert,Libraty,
