id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)"
1788841914,PulsePoint,2024-03-25 06:46,"LAC, SB 14 AT AVENUE H ,LANC, LANCASTER",LAC,LOCAL,Los Angeles,1,"34.71877, -118.1704",Nothing on cameras,Rawaf,"Also, urban/desert."
ID-2024-03-25T16:21:30Z_0001,NGFS,2024-03-25 09:26,"Riverside County, CA",RVC,LOCAL,Riverside,6,"33.691716965006684, -114.64163491605561",Nothing on cameras,Chesa,
g18-2024-03-25T16:48:25+00:00,GOES,2024-03-25 09:48,"High Probability, Ventura County, 33 MW",LPF,FEDERAL,Ventura,1,"34.5699, -118.7816",Nothing on cameras,Chesa,
ID-2024-03-25T16:46:30Z_0002,NGFS,2024-03-25 09:51,"Mono County, CA",CND,FEDERAL,Mono,6,"37.63442658929577, -118.80785423803752",Nothing on cameras,Chesa,
ID-2024-03-25T16:51:30Z_0002,NGFS,2024-03-25 09:56,"Glenn County, CA",ART,LOCAL,Glenn,3,"39.669380095424366, -122.12918160529907",Agriculture / farm,Rawaf,
ID-2024-03-25T17:01:30Z_0002,NGFS,2024-03-25 10:06,"Tehama County, CA",TGU,STATE,Tehama,3,"40.349808234993695, -122.21401110039143",Fusion Center Instruction,Rawaf,"Smoke visible, looks like burn piles... ""No dispatches associated."""
g18-2024-03-25T17:23:25+00:00,GOES,2024-03-25 10:23,"Partially Cloudy/Smoke, Kern County, 29 MW",KRN,LOCAL,Kern,5,"34.9552, -118.3102",Nothing on cameras,Chesa,
f00f321b-79e0-4ff4-89bf-f7d6475ba71d,IRWIN,2024-03-25 12:45,"SKU, SPRINGS IC Siskiyou",SKU,STATE,Siskiyou,3,"41.6088772404135, -122.39028373005",Fusion Center Instruction,Rawaf,"Moving clouds' shadows make it hard to see, but not finding smoke... Small smoke column found, unit on scene, ""I’ll keep listening. Pretty green and pretty light."""
ID-2024-03-25T19:41:30Z_0004,NGFS,2024-03-25 12:46,"Solano County, CA",LNU,STATE,Solano,2,"38.49120740748433, -122.0410177559322",Prescribed fire,Rawaf,
ID-2024-03-25T19:46:30Z_0004,NGFS,2024-03-25 12:51,"Mono County, CA",NV-HTF,FEDERAL,Mono,6,"38.39503611762448, -119.48161406196277",Nothing on cameras,Chesa,
1789309019,PulsePoint,2024-03-25 14:53,"LAC, N AMELIA AVE & 210 FWY, GLENDORA",LAC,LOCAL,Los Angeles,1,"34.11999, -117.82016",Urban,Chesa,
1d3d4a48-03c6-45b8-8c65-4458fc333d9f,IRWIN,2024-03-25 15:29,"RVC, W 4TH ST  PERR IC Riverside",RVC,LOCAL,Riverside,6,"33.7823348817683, -117.237416994357",Nothing on cameras,Chesa,
1789348526,PulsePoint,2024-03-25 15:37,"LAC, WB 105 AT HAWTHORNE BLVD ,HAWT, HAWTHORNE",LAC,LOCAL,Los Angeles,1,"33.93377, -118.3526",Urban,Chesa,
1789350238,PulsePoint,2024-03-25 15:37,"LAC, WB 105 TO 405 FWY NB, LENNOX",LAC,LOCAL,Los Angeles,1,"33.93298, -118.36779999999999",Urban,Chesa,
ID-2024-03-25T22:31:30Z_0024,NGFS,2024-03-25 15:39,"Santa Barbara County, CA",LPF,FEDERAL,Santa Barbara,1,"34.47839944894836, -119.82853438133023",Nothing on cameras,Chesa,
ID-2024-03-25T23:06:30Z_0023,NGFS,2024-03-25 16:14,"Santa Barbara County, CA",LPF,FEDERAL,Santa Barbara,1,"34.45076096209642, -119.46988387291974",Nothing on radio,Chesa,
1789615310,PulsePoint,2024-03-25 20:54,"LAC, EB 105 WO VERMONT AV ,SLAC, SOUTH LA",LAC,LOCAL,Los Angeles,1,"33.92825, -118.2957",Urban,Treva,
1789734344,PulsePoint,2024-03-26 00:44,"LAC, W CENTURY BLVD & S MYRTLE AVE, INGLEWOOD",LAC,LOCAL,Los Angeles,1,"33.9455, -118.34914",,,
ID-2024-03-26T07:51:30Z_0002,NGFS,2024-03-26 00:56,"Sacramento County, CA",SCR,LOCAL,Sacramento,4,"38.5621411490131, -121.49231439799468",,,
1789879649,PulsePoint,2024-03-26 05:54,"ORC, NB 57 & Dead End, BREA",ORC,STATE,Orange,1,"33.93984, -117.875904",,,
4e110d99-4dbe-4f3a-bf67-fea858f70fd3,IRWIN,2024-03-26 06:57,"RVC, LIMONITE AV / BAIN ST IC Riverside",RVC,LOCAL,Riverside,6,"33.9753558889366, -117.505885055907",,,
ID-2024-03-26T16:46:30Z_0003,NGFS,2024-03-26 09:53,"Modoc County, CA",NOD,FEDERAL,Modoc,3,"41.890559287514044, -120.02450695168712",Prescribed fire,Dawn,
ID-2024-03-26T16:56:30Z_0003,NGFS,2024-03-26 10:01,"Riverside County, CA",RVC,LOCAL,Riverside,6,"33.691716965006684, -114.64163491605561",,Chesa,
ID-2024-03-26T17:21:30Z_0005,NGFS,2024-03-26 10:27,"Tulare County, CA",SQF,FEDERAL,Tulare,5,"36.71329558027176, -118.98028129498815",,Chesa,
ID-2024-03-26T17:56:30Z_0003,NGFS,2024-03-26 11:01,"Solano County, CA",LNU,STATE,Solano,2,"38.251887821972616, -122.1239158459981",Prescribed fire,Dawn,
1790151201,PulsePoint,2024-03-26 11:37,"LAC, WB 105 AT HAWTHORNE BLVD ,HAWT, HAWTHORNE",LAC,LOCAL,Los Angeles,1,"33.93377, -118.3526",,Chesa,
a2d940da-2f81-4dbe-b624-a7657d547164,IRWIN,2024-03-26 12:43,"SHU, PLATINA RD / BULLY CHOOP RD IC Shasta",SHU,STATE,Shasta,3,"40.4239781232132, -122.761750608769",Other - Enter reason,Dawn,burn piles
ID-2024-03-26T20:26:30Z_0003,NGFS,2024-03-26 13:31,"Yolo County, CA",DNN,LOCAL,Yolo,4,"38.840528714959504, -121.95441148426673",Nothing on radio,Dawn,cameras far away
ID-2024-03-26T21:31:30Z_0004,NGFS,2024-03-26 14:36,"GRASS VALLEY RX PILE PLAN 2024, San Bernardino County, CA",BDF,FEDERAL,San Bernardino,6,"34.26752645020502, -117.22889152910956",Prescribed fire,Dawn,
ID-2024-03-26T21:31:30Z_0003,NGFS,2024-03-26 14:44,"Siskiyou County, CA",KNF,FEDERAL,Siskiyou,3,"41.82913310582845, -122.89813650159729",Prescribed fire,Dawn,
ID-2024-03-26T21:51:30Z_0002,NGFS,2024-03-26 14:56,"Colusa County, CA",ARB,LOCAL,Colusa,3,"39.02250336160852, -122.11231170347277",Agriculture / farm,Dawn,
ID-2024-03-26T21:51:30Z_0009,NGFS,2024-03-26 15:01,"Mono County, CA",NV-HTF,FEDERAL,Mono,6,"38.36417491807689, -119.40894539055462",Nothing on radio,Dawn,no cameras
ID-2024-03-26T22:26:30Z_0002,NGFS,2024-03-26 15:38,"Siskiyou County, CA",SKU,STATE,Siskiyou,3,"41.36478249061352, -122.82430106774086",Nothing on radio,Dawn,no good cams
1adc206d-dc00-4cfa-a861-0a7e057f55e9,IRWIN,2024-03-26 21:07,"BOB, SB HWY 101  / EAST GARRISON OFF RAMP IC Monterey",BOB,FEDERAL,Monterey,2,"35.8157688850603, -120.755017752065",,,
ID-2024-03-27T04:11:30Z_0002,NGFS,2024-03-26 21:16,"El Dorado County, CA",AEU,STATE,El Dorado,4,"38.66247162274973, -120.52835088230613",,,
1790616249,PulsePoint,2024-03-26 22:08,"LAC, 5509 E MC MILLAN ST, LYNWOOD",LAC,LOCAL,Los Angeles,1,"33.90554000027311, -118.18539000030499",,,
1790710400,PulsePoint,2024-03-27 02:22,"LAC, 1525 W AVENUE K, LANCASTER",LAC,LOCAL,Los Angeles,1,"34.674900000008265, -118.156825",,,
1790942677,PulsePoint,2024-03-27 08:26,"LAC, W AVENUE L & N 42ND ST W, LANCASTER",LAC,LOCAL,Los Angeles,1,"34.66015, -118.20582000000002",Urban,Dawn,
1790944403,PulsePoint,2024-03-27 08:29,"LAC, S CAMPUS DR & N RIDGEWAY ST, POMONA",LAC,LOCAL,Los Angeles,1,"34.06444, -117.79749",Urban,Dawn,
ID-2024-03-27T16:31:30Z_0066,NGFS,2024-03-27 09:39,"San Mateo County, CA",CZU,STATE,San Mateo,2,"37.47487582595361, -122.29719454589178",Nothing on radio,Dawn,no potential
ID-2024-03-27T16:51:30Z_0002,NGFS,2024-03-27 09:56,"Riverside County, CA",BLY,LOCAL,Riverside,6,"33.68583779096775, -114.63726180592349",Dirt / desert,Dawn,
ID-2024-03-27T18:11:30Z_0003,NGFS,2024-03-27 11:16,"Fresno County, CA",NCN,LOCAL,Fresno,5,"36.76250244888096, -120.11944234031952",Agriculture / farm,Dawn,
g18-2024-03-27T18:31:26+00:00,GOES,2024-03-27 11:31,"Partially Cloudy/Smoke, Kern County, 32 MW",KRN,LOCAL,Kern,5,"35.0837, -118.9144",Agriculture / farm,Dawn,
1791146882,PulsePoint,2024-03-27 12:13,"LAC, SB 14 NO AVENUE K ,LANC, LANCASTER",LAC,LOCAL,Los Angeles,1,"34.67854, -118.1613",Urban,Dawn,
1791210508,PulsePoint,2024-03-27 13:32,"LAC, MEADOWRIDGE DR & NEWHALL AVE, SANTA CLARITA",LAC,LOCAL,Los Angeles,1,"34.36823, -118.51068999999998",Knockdowns,Dawn,5x5 spot
