id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)"
1611635159,PulsePoint,2023-10-02 05:06,"LAC, LA PETITE AVE & HWY 138, FAIRMONT",LAC,LOCAL,Los Angeles,1.0,"34.77574, -118.57511000000001",,,
e1431681-6dec-470e-bf99-f00de6c66362,IRWIN,2023-10-02 08:51,"RVC, POSTAL AV  MOVA IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9404209000097, -117.236592006825",,,
78358fd3-99c4-42c3-a682-c0b218a74e2c,IRWIN,2023-10-02 10:47,"RVC, CHEROKEE IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7845398814206, -117.248319996411",Urban,AV,
32ab7500-808a-427c-9909-80f59865ec0c,IRWIN,2023-10-02 11:00,"RVC, SUNNYMEAD BL / GRAHAM ST IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9389358989399, -117.252700009483",Urban,AV,
g18-2023-10-02T18:46:17+00:00,GOES,2023-10-02 11:46,"Processed, Imperial County, 240 MW",CDD,FEDERAL,Imperial,6.0,"32.8864, -115.6339",Dirt / desert,AV,
7f58443f-4eac-4fb6-ab05-12c9465f45a8,IRWIN,2023-10-02 12:27,"LNU, S HWY 29  / DOTEN RD IC Lake",LNU,STATE,Lake,2.0,"38.9258790136185, -122.720274400001",Nothing on cameras,Rawaf,Fire out.
a3114e94-fa95-4800-b504-a702593bbf8e,IRWIN,2023-10-02 13:18,"MDC, RD 16  / AVE 18 IC Madera",MDC,LOCAL,Madera,5.0,"37.0110040308424, -120.256849795612",Other - Enter reason,AV,Old 
9222a895-2b3e-41cc-bff4-47fefadf13b1,IRWIN,2023-10-02 13:21,"FKU, O26 IC Fresno",FKU,STATE,Fresno,5.0,"36.6631359697842, -120.675838825143",Other - Enter reason,AV, Burn Pile 
1612008538,PulsePoint,2023-10-02 13:28,"LFD, 1448 W ACADEMY RD, Los Angeles",LFD,LOCAL,Los Angeles,1.0,"34.082402, -118.24994",Weather,AV,
g16-2023-10-02T20:56:17+00:00,GOES,2023-10-02 13:56,"Processed, San Luis Obispo County, 58 MW",SLU,STATE,San Luis Obispo,1.0,"35.1635, -120.6464",Prescribed fire,AV ,
345ddecd-2ed6-4851-87b4-20b35952f811,IRWIN,2023-10-02 13:58,"LNU, WESTSIDE AVE  FORESTVILLE IC Sonoma",LNU,STATE,Sonoma,2.0,"38.5123449653109, -122.929341379078",Nothing on cameras,Rawaf,
1612062294,PulsePoint,2023-10-02 14:20,"LAC, 33729 DOMINO HILL RD, AGUA DULCE",LAC,STATE,Los Angeles,1.0,"34.505604999999996, -118.33408",Knockdowns,AV,
1612064258,PulsePoint,2023-10-02 14:21,"LAC, TIERRA SUBIDA AVE & 5TH ST W, PALMDALE",LAC,LOCAL,Los Angeles,1.0,"34.5723, -118.14043",Dirt / desert,AV,
917c8964-fe4a-4b77-8747-8a7138bb330d,IRWIN,2023-10-02 15:04,"RRU, MADERA IC Riverside",RRU,STATE,Riverside,6.0,"33.5215498610744, -117.062051943693",,,
ad6ec349-c1ba-473f-b9b0-ffac8b5061d6,IRWIN,2023-10-02 15:21,"RVC, S 8TH ST  BAN IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9230969175821, -116.885433944602",,,
06b8e848-aa09-4a71-85d8-bef4c5d1e363,IRWIN,2023-10-02 15:43,"LNU, E HWY 20   CLEARLAKE_OAKS IC Lake",LNU,STATE,Lake,2.0,"39.0203630226067, -122.699033408926",Nothing on cameras,Rawaf,"Sending 1 eng only, fire out."
70150346-4ab3-4a2f-858f-709dc034d842,IRWIN,2023-10-02 15:57,"RVC, CALLE AZTECA   DHSP IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9521539438909, -116.473796874892",,,
d2572b02-5333-4627-8b6f-2d94e609937e,IRWIN,2023-10-02 16:51,"LNU, NOBLE RANCH RD / BLACK OAK RDG IC Lake",LNU,STATE,Lake,2.0,"38.846542019578, -122.563509366566",Knockdowns,Sierra,1 acre grass
07c635ea-e6a4-4366-9b6b-1ad38fe28a40,IRWIN,2023-10-02 17:21,"LNU, GUENOC LN /S HWY 29 IC Lake",LNU,STATE,Lake,2.0,"38.7891410147947, -122.566991359841",Knockdowns,Sierra,
81c6d8f0-a897-48ed-821c-992aa0778d69,IRWIN,2023-10-02 18:03,"MDC, MADERA IC Madera",MDC,LOCAL,Madera,5.0,"36.9798460434434, -120.031984756245",,,
1612280563,PulsePoint,2023-10-02 18:04,"LAC, CHALLENGER WAY & E AVENUE I, LANCASTER",LAC,LOCAL,Los Angeles,1.0,"34.70408, -118.11255000000001",,,
ffd8aeb1-9bae-4e17-b714-8fa65ccadf9a,IRWIN,2023-10-02 18:44,"RRU, SPRING ST  LELS IC Riverside",RRU,STATE,Riverside,6.0,"33.7551318762954, -117.279778999503",,,
94ce99f7-d6e7-42eb-94d0-1f30bae9977b,IRWIN,2023-10-02 18:51,"RRU, MOV292 IC Riverside",RRU,STATE,Riverside,6.0,"33.9969559106772, -117.162025998509",,,
1612315678,PulsePoint,2023-10-02 18:54,"LAC, W TEMPLE AVE & UNIVERSITY DR, POMONA",LAC,LOCAL,Los Angeles,1.0,"34.05049000000001, -117.82069999999999",,,
700ddade-d740-4bda-bfb6-4427ed11a06f,IRWIN,2023-10-02 22:48,"TUU, MYER DR / ROAD 216 5 IC Tulare",TUU,STATE,Tulare,5.0,"36.2745540382329, -119.091011529927",,,
702b9d8d-eda7-45f9-823b-d5df0fca60ed,IRWIN,2023-10-02 23:26,"RRU, BUCK RD / LAS UVAS DR IC Riverside",RRU,STATE,Riverside,6.0,"33.5545108646973, -117.066240946964",,,
8170a3d7-cc23-4e9c-bc3b-1a196f895f09,IRWIN,2023-10-03 00:22,"AEU, MURIETA IC Sacramento",AEU,STATE,Sacramento,4.0,"38.4896811020222, -121.100519098475",,,
266271e5-8288-4cbc-9ac4-f03d7328f7f9,IRWIN,2023-10-03 05:53,"RVC, SUNNYMEAD BL / INDIAN ST IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9390648999382, -117.235083006456",,,
096f411a-4887-4be5-94f7-78a7dc7022b1,IRWIN,2023-10-03 06:55,"RVC, PERRIS BL  MOVA IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9409859006491, -117.226303005096",,,
688f9dfa-1a20-4810-87dc-7c5b635522c0,IRWIN,2023-10-03 07:38,"SQF, RABBIT IC Tulare",SQF,FEDERAL,Tulare,5.0,"36.7179220963706, -118.883229540838",,,
6f02c5e2-d2d3-40f2-bc3a-001b9fe2bbb2,IRWIN,2023-10-03 11:49,"RVC, MISSION BL / RUBIDOUX BL IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9972688969719, -117.407085040741",,,
g16-2023-10-03T18:56:17+00:00,GOES,2023-10-03 11:56,"Processed, San Luis Obispo County, 56 MW",SLU,STATE,San Luis Obispo,1.0,"35.1635, -120.6464",,,
g18-2023-10-03T18:56:17+00:00,GOES,2023-10-03 11:56,"Processed, 0.79 mi outside US (CA), 44 MW",,,,,"32.5668, -116.6038",,,
12f49cfa-711f-4850-b073-9bf9bb2431dd,IRWIN,2023-10-03 12:57,"AEU, CHURCH IC El Dorado",AEU,STATE,El Dorado,4.0,"38.6595301366276, -120.83533607763",Other - Enter reason,AV ,Canceled 
