id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)"
7fa24c35-09e5-471c-a958-233c7f74c0b3,IRWIN,2023-08-21 01:26,"MRD, SANTA FE AV / MCKEE RD IC Merced",MRD,LOCAL,Merced,5.0,"37.2960830440757, -120.445122856636",,,
47ff46fc-7b08-481e-9b24-d9832e3080de,IRWIN,2023-08-21 01:57,"SCU, DYER IC Alameda",SCU,STATE,Alameda,2.0,"37.7379429956458, -121.670283097587",,,
079526ec-93f3-4d05-bb80-e6edcf127d5b,IRWIN,2023-08-21 02:21,"SCU, CARROLL RD / I 580  E IC Alameda",SCU,STATE,Alameda,2.0,"37.7191869947637, -121.660339093907",,,
f209e288-cef0-4777-9335-c21ac1644329,IRWIN,2023-08-21 02:21,"TCU, LAKE IC Stanislaus",TCU,STATE,Stanislaus,4.0,"37.8504710629349, -120.878684987756",,,
5fb8f5d4-e0dd-4ce3-aae7-58fe5041430b,IRWIN,2023-08-21 07:03,"TGU, DERBY RD  WRB IC Tehama",TGU,STATE,Tehama,3.0,"40.1849551481719, -122.247159497307",Pushed,AV,
c40bd1c0-2500-4f01-a230-6cbd41f78f04,IRWIN,2023-08-21 08:39,"RVC, NUEVO RD / MENIFEE RD IC Riverside",RVC,LOCAL,Riverside,6.0,"33.8012278884264, -117.156359981868",Nothing on cameras,AV,
ec467c74-82a7-4700-a689-c493dab914d5,IRWIN,2023-08-21 09:29,"LNU, CANYON IC Sonoma",LNU,STATE,Sonoma,2.0,"38.4089809881362, -122.520916305811",Nothing on cameras,AV,
d0ebee6a-ded2-4ba6-863a-c73a421b5cc0,IRWIN,2023-08-21 09:33,"STF, ROCK IC Tuolumne",STF,FEDERAL,Tuolumne,4.0,"38.1095551540866, -119.948795869623",Other - Enter reason,AV ,Old 
fb1cdf63-009d-4d17-946b-7c2c8e91592e,IRWIN,2023-08-21 10:07,"KNF, CAPITAN IC Siskiyou",KNF,FEDERAL,Siskiyou,3.0,"41.8715051500251, -123.60918095382",,,
e4b4fe1e-3828-47a0-a6df-25fef1e090a5,IRWIN,2023-08-21 11:06,"SLU, TURRI IC San Luis Obispo",SLU,STATE,San Luis Obispo,1.0,"35.3317838349136, -120.816697715636",Knockdowns,Rawaf,"30 min time lapse shows smoke, now dissipated. maybe vehicle or structure? Late: ""FireDiscoveryDateTime: 2023-08-21 10:34 PDT"""
f0775659-fd88-478e-8231-9ecc2d01eb81,IRWIN,2023-08-21 13:15,"MMU, CRITTER CREEK LN / JOHN WEST RD IC Madera",MMU,STATE,Madera,5.0,"37.3120421034567, -119.620582725691",Knockdowns,Rawaf,Single engine for a fire reported out.
5d8625c7-5cc0-4ae6-b922-d4765c2ed0bd,IRWIN,2023-08-21 13:25,"RVC, W NANCE ST / PATTERSON AV IC Riverside",RVC,LOCAL,Riverside,6.0,"33.8554878893558, -117.252589002784",Urban,Rawaf,
a6912109-ca6c-4648-88d0-0632e13c92a0,IRWIN,2023-08-21 13:29,"LNU, GHOST IC Sonoma",LNU,STATE,Sonoma,2.0,"38.2490789616208, -122.703291313538",Knockdowns,Chesa,
f256d441-fb9d-4738-8b6c-14d10e790b87,IRWIN,2023-08-21 13:54,"KNF, BOX IC Siskiyou",KNF,FEDERAL,Siskiyou,3.0,"41.608672170142, -123.186513849799",Fusion Center Instruction,Chesa,
c1a855b1-c12f-4089-a36e-103e2f25b324,IRWIN,2023-08-21 14:32,"HIA, Big Hill IC Humboldt",HIA,FEDERAL,Humboldt,2.0,"41.0801810914992, -123.676030840221",Nothing on cameras,Chesa,
87ff48d3-58f6-48b2-b700-f397165779fe,IRWIN,2023-08-21 14:41,"SRF, Hennessy IC Trinity",SRF,FEDERAL,Trinity,3.0,"40.806616085004, -123.534621778673",Fusion Center Instruction,Chesa,
g16-2023-08-21T21:50:20+00:00,GOES,2023-08-21 14:50,"Processed, Tulare County, 61 MW",TLR,LOCAL,Tulare,5.0,"36.2122, -119.343",Urban,Rawaf,
c86468c9-e968-4130-9c82-c5bd8c41b06e,IRWIN,2023-08-21 15:05,"CND, PROSPECT IC Mono",CND,FEDERAL,Mono,6.0,"38.153055216296, -119.15447974458",Other - Enter reason,Rawaf,"No views, old: ""FireDiscoveryDateTime: 2023-08-20 15:32 PDT"""
b0b5056e-18f8-49a4-97c8-05a6eb5f7fbd,IRWIN,2023-08-21 15:25,"KRN, GARCIA IC Kern",KRN,STATE,Kern,5.0,"35.5950049772676, -118.966679143252",Knockdowns,Chesa,"Smoke visible, now dissipated."
