id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)",Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0cd37380-e303-44ff-b867-4072f7e1ec35,IRWIN,2024-07-20 23:30,"RRU, SPRING ST  GOOD IC Riverside",RRU,STATE,Riverside,6.0,"33.762355877121, -117.279905000096",,,,,,,,,,,,,,,,,
a42fd23b-830e-4537-b91c-fda76598d382,IRWIN,2024-07-20 23:43,"BEU, HWY 198  / PEACH TREE RD IC Monterey",BEU,STATE,Monterey,2.0,"36.1872279157378, -120.821229799152",,,,,,,,,,,,,,,,,
ff6d856c-cddc-4144-8af1-64675f7b2ce9,IRWIN,2024-07-21 00:11,"RVC, I 15  N/ CENTRAL AV AND HY 74 OFRP IC Riverside",RVC,LOCAL,Riverside,6.0,"33.6889478656603, -117.3344750037",,,,,,,,,,,,,,,,,
ID-2024-07-21T07:06:30Z_0051,NGFS,2024-07-21 00:11,"Monterey County, CA",BEU,STATE,Monterey,2.0,"36.19013195396238, -120.77365517167382",,,,,,,,,,,,,,,,,
9ee15bae-e127-4aea-85e6-a56b3b18a264,IRWIN,2024-07-21 00:38,"SCU, DUBLIN CANYON RD  WEST_PLEASANTON IC Alameda",SCU,STATE,Alameda,2.0,"37.6977129712984, -121.958718136924",,,,,,,,,,,,,,,,,
cf87f5b8-35df-4a5b-b192-be2608dcc722,IRWIN,2024-07-21 02:12,"RRU, DAY ST  MEAD IC Riverside",RRU,STATE,Riverside,6.0,"33.8282688847606, -117.278988005164",,,,,,,,,,,,,,,,,
4786399e-d1a0-40c3-a12e-9e8a5f06a3e3,IRWIN,2024-07-21 02:23,"SCU, NB I 5  / SPERRY RD IC Stanislaus",SCU,STATE,Stanislaus,4.0,"37.4637650070966, -121.180200990815",,,,,,,,,,,,,,,,,
59266ca4-cfa1-4de8-9700-c8c6053f3aad,IRWIN,2024-07-21 02:48,"RVC, RIDER IC Riverside",RVC,LOCAL,Riverside,6.0,"33.8266568899146, -117.182564988412",,,,,,,,,,,,,,,,,
3edc3eed-fe1f-4dd8-9acb-be32a7cc1c78,IRWIN,2024-07-21 03:01,"RVC, ALCOVE LN  MENI IC Riverside",RVC,LOCAL,Riverside,6.0,"33.6687618713509, -117.188038976901",,,,,,,,,,,,,,,,,
5cea5b6b-f633-4bb1-bb35-9551ce7d3446,IRWIN,2024-07-21 03:43,"RVC, CLAPPER IC Riverside",RVC,LOCAL,Riverside,6.0,"33.8252068884052, -117.20680699248",,,,,,,,,,,,,,,,,
ID-2024-07-21T10:51:30Z_0052,NGFS,2024-07-21 03:56,"Fresno County, CA",NCN,LOCAL,Fresno,5.0,"36.67980810398196, -119.91709911508383",,,,,,,,,,,,,,,,,
346c32fc-5078-4bde-b9a1-4fb9d05a3ec7,IRWIN,2024-07-21 04:10,"HUU, MM 25.02 HWY 96 HUM WEITCHPEC IC Humboldt",HUU,STATE,Humboldt,2.0,"41.1935740994488, -123.672491856939",,,,,,,,,,,,,,,,,
ID-2024-07-21T12:46:30Z_0041,NGFS,2024-07-21 05:51,"Humboldt County, CA",SRF,FEDERAL,Humboldt,2.0,"41.259546280684184, -123.64791036778837",,,,,,,,,,,,,,,,,
3b2c8eb2-7add-46df-96da-0decac5518c7,IRWIN,2024-07-21 07:04,"KCF, EXCELSIOR IC Fresno",KCF,LOCAL,Fresno,5.0,"36.4020550028686, -119.815535661029",Agriculture / farm,Jess,,,,,,,,,,,,,,,
40e13f54-d3eb-4864-b14f-5374e1b69027,IRWIN,2024-07-21 09:04,"KRN, LOW IC Kern",KRN,STATE,Kern,5.0,"35.3900049112628, -119.686679241612",Knockdowns,Jess,,,,,,,,,,,,,,,
df8014f7-ae24-454d-b6ee-34a7be5b96c1,IRWIN,2024-07-21 09:05,"RRU, I 10  E/ MORONGO TRL OFRP IC Riverside",RRU,STATE,Riverside,6.0,"33.9243989218204, -116.811992931912",Urban,Jess,,,,,,,,,,,,,,,
b4267fb4-69a2-4ef4-a766-7e0bbc598e85,IRWIN,2024-07-21 09:12,"NEU, ROLLINS IC Placer",NEU,STATE,Placer,4.0,"39.1235151680308, -120.940117152526",Knockdowns,Jess,,,,,,,,,,,,,,,
1905052218,PulsePoint,2024-07-21 10:35,"LFD, 1230 NB 405 FWY, Los Angeles",LFD,LOCAL,Los Angeles,1.0,"34.12583, -118.47597",Urban,AV ,,,,,,,,,,,,,,,
ID-2024-07-21T17:51:30Z_0048,NGFS,2024-07-21 10:56,"San Bernardino County, CA",CDD,FEDERAL,San Bernardino,6.0,"35.58218777861096, -115.43829830676358",Solar farm,AV,,,,,,,,,,,,,,,
ID-2024-07-21T17:51:30Z_0049,NGFS,2024-07-21 10:56,"Riverside County, CA",CDD,FEDERAL,Riverside,6.0,"33.58527154227778, -114.74446976677093",Solar farm,AV,,,,,,,,,,,,,,,
bc19adbc-eb0d-4b6e-a30e-1029b9e16f70,IRWIN,2024-07-21 10:56,"YNP, LAKE IC Tuolumne",YNP,FEDERAL,Tuolumne,4.0,"37.9832381483572, -119.869095841947",No potential / nowhere to go,Jess,,,,,,,,,,,,,,,
g16-2024-07-21T17:56:18+00:00,GOES,2024-07-21 10:56,"Processed, Tulare County, 161 MW",SQF,FEDERAL,Tulare,5.0,"35.9604, -118.3185",Other - Enter reason,Jess,rock,,,,,,,,,,,,,,
ID-2024-07-21T18:06:30Z_0048,NGFS,2024-07-21 11:12,"Imperial County, CA",,LOCAL,Imperial,6.0,"33.25669745425816, -115.5043402999235",Solar farm,AV,,,,,,,,,,,,,,,
ID-2024-07-21T18:06:30Z_0050,NGFS,2024-07-21 11:12,"Imperial County, CA",,LOCAL,Imperial,6.0,"32.74753117080782, -115.69311832854861",Solar farm,AV,,,,,,,,,,,,,,,
ID-2024-07-21T18:06:30Z_0051,NGFS,2024-07-21 11:12,"Imperial County, CA",IMP,LOCAL,Imperial,6.0,"32.65340412502454, -115.65965635472975",Solar farm,AV,,,,,,,,,,,,,,,
5902a5ec-c0ba-4c60-a463-a277ea774e36,IRWIN,2024-07-21 11:17,"YNP, DOUBLE ROCK IC Mariposa",YNP,FEDERAL,Mariposa,5.0,"37.8881721614413, -119.567512781823",Other - Enter reason,AV,,,,,,,,,,,,,,,
ID-2024-07-21T18:21:30Z_0047,NGFS,2024-07-21 11:26,"Los Angeles County, CA",LAC,LOCAL,Los Angeles,1.0,"34.7666695021783, -118.41974645481875",Solar farm,AV,,,,,,,,,,,,,,,
5e6a7fb7-e23e-42ed-a488-654315865fda,IRWIN,2024-07-21 11:30,"AEU, BUTTE MOUNTAIN RD  JACKSON_UNINCORPORATED IC Amador",AEU,STATE,Amador,4.0,"38.3422751195614, -120.696543017027",Pushed,Jess,,,,,,,,,,,,,,,
ID-2024-07-21T18:26:30Z_0048,NGFS,2024-07-21 11:31,"Riverside County, CA",CDD,FEDERAL,Riverside,6.0,"33.81494336488299, -115.38370467236223",Solar farm,,,,,,,,,,,,,,,,
f9f58fca-7c3f-4f02-9844-49dc241125a2,IRWIN,2024-07-21 11:36,"SRF, Slate IC Humboldt",SRF,FEDERAL,Humboldt,2.0,"41.2600051080548, -123.625013860187",Nothing on cameras,Jess,,,,,,,,,,,,,,,
ID-2024-07-21T18:31:30Z_0056,NGFS,2024-07-21 11:37,"Kings County, CA",KCF,LOCAL,Kings,5.0,"36.149149947524464, -119.88860957397787",Dirt / desert,,,,,,,,,,,,,,,,
ID-2024-07-21T18:31:30Z_0045,NGFS,2024-07-21 11:37,"Amador County, CA",AEU,STATE,Amador,4.0,"38.34513774301851, -120.68827241873693",,,,,,,,,,,,,,,,,
ID-2024-07-21T18:31:30Z_0048,NGFS,2024-07-21 11:37,"San Luis Obispo County, CA",SLU,STATE,San Luis Obispo,1.0,"35.372824511487025, -120.03441438432398",,,,,,,,,,,,,,,,,
95cb9972-62c7-489c-9229-394a3d14922f,IRWIN,2024-07-21 11:44,"RRU, SADDLE IC Riverside",RRU,STATE,Riverside,6.0,"33.6160638807756, -116.902846923399",Pushed,AV ,Saddle ,,,,,,,,,,,,,,
7ebadbef-1df5-4a08-8cc3-15552e24ad21,IRWIN,2024-07-21 12:14,"KRN, SKYLINE IC Kern",KRN,STATE,Kern,5.0,"35.3183382085031, -119.615012523374",Pushed,AV ,SKYLINE ,,,,,,,,,,,,,,
{2D362D89-5DE2-4A6E-8F52-5EC0DF2CBB8C},Intterra FIRIS,2024-07-21 12:31,2629acres CA-LNU-RIDGE-N40Y_072120241931Z PERIM,LNU,STATE,,,"39.04247248658505, -122.43702620514954",Other - Enter reason,Plane ,,,,,,,,,,,,,,,
cb0d9655-8e82-4170-9eac-5e5d5564aa71,IRWIN,2024-07-21 12:34,"AEU, HY 50 EB  / RIDGEWAY DR IC El Dorado",AEU,STATE,El Dorado,4.0,"38.7483911608579, -120.617379054086",Pushed,Jess,,,,,,,,,,,,,,,
28f6bd06-ac1e-46b4-8349-79f859ef8cab,IRWIN,2024-07-21 12:38,"YUC, WILDWOOD IC San Bernardino",YUC,LOCAL,San Bernardino,6.0,"34.0133089172241, -117.078812985436",Other - Enter reason,AV ,Old ,,,,,,,,,,,,,,
81da2ba3-189c-4ad3-9f1f-3aa1566c182c,IRWIN,2024-07-21 12:44,"PWY, MINA IC San Diego",PWY,LOCAL,San Diego,6.0,"32.9918678030538, -116.979006889519",Pushed,Av ,MINA ,,,,,,,,,,,,,,
3f2d1c14-7ea0-4cd3-bb35-b94c04b5cef3,IRWIN,2024-07-21 12:58,"JKS, MAIN IC Amador",JKS,LOCAL,Amador,4.0,"38.3615471151361, -120.77836903229",Knockdowns,Jess,,,,,,,,,,,,,,,
ID-2024-07-21T20:01:30Z_0065,NGFS,2024-07-21 13:07,"Tulare County, CA",TLR,LOCAL,Tulare,5.0,"36.2088875423363, -119.30220577308496",Urban,AV ,,,,,,,,,,,,,,,
03ad08a4-1224-408a-a7d8-cd97f0bc3890,IRWIN,2024-07-21 13:09,"UKV, TOLLINI IC Mendocino",UKV,LOCAL,Mendocino,2.0,"39.1982699959296, -123.211130507535",Other - Enter reason,Jess,old,,,,,,,,,,,,,,
ID-2024-07-21T20:06:30Z_0042,NGFS,2024-07-21 13:11,"Sonoma County, CA",CLD,LOCAL,Sonoma,2.0,"38.81574925878063, -123.00276278628517",Nothing on cameras,Jess,,,,,,,,,,,,,,,
bddf7bc4-3ef2-483f-a8dc-1414ac548da9,IRWIN,2024-07-21 13:13,"FKU, FRIANT IC Fresno",FKU,LOCAL,Fresno,5.0,"36.9294440593362, -119.731281702313",Other - Enter reason,AV ,OLD ,,,,,,,,,,,,,,
ID-2024-07-21T20:11:30Z_0047,NGFS,2024-07-21 13:17,"Kern County, CA",KRN,LOCAL,Kern,5.0,"35.019797004181456, -117.89378984413378",Nothing on cameras,AV ,SKipped ,,,,,,,,,,,,,,
98a56c4d-6c08-4935-a4ab-7f62a2c0492c,IRWIN,2024-07-21 13:17,"RRU, TEMESCAL CANYON RD / TEMESCAL HILLS DR IC Riverside",RRU,STATE,Riverside,6.0,"33.7627318668867, -117.46622503212",Knockdowns,Jess,,,,,,,,,,,,,,,
1905176565,PulsePoint,2024-07-21 13:21,"LAC, NB 14 AT AGUA DULCE CANYON RD ,AGDL, AGUA DULCE",LAC,STATE,Los Angeles,1.0,"34.46651, -118.3297",Nothing on cameras,AV,,,,,,,,,,,,,,,
ID-2024-07-21T20:26:30Z_0047,NGFS,2024-07-21 13:31,"Riverside County, CA",RIV,LOCAL,Riverside,6.0,"33.924736092922416, -117.37637314417209",Pushed,AV ,HawardenIC ,,,,,,,,,,,,,,
ID-2024-07-21T20:41:30Z_0047,NGFS,2024-07-21 13:47,"Kern County, CA",KRN,LOCAL,Kern,5.0,"35.763556735939474, -119.2808003786899",Nothing on cameras,AV ,,,,,,,,,,,,,,,
da3863e4-dbd8-485b-812a-8c5a543eed62,IRWIN,2024-07-21 13:47,"RRU, RIVER ROCK RD / EAGLE CANYON RD IC Riverside",RRU,STATE,Riverside,6.0,"33.8305658728184, -117.499170043145",Knockdowns,AV,,,,,,,,,,,,,,,
g16-2024-07-21T20:51:18+00:00,GOES,2024-07-21 13:51,"Processed, Tulare County, 153 MW",SQF,FEDERAL,Tulare,5.0,"36.0362, -118.3088",Other - Enter reason,AV,old,,,,,,,,,,,,,,
d8c06e82-a95d-4d59-9f42-9082ea351222,IRWIN,2024-07-21 13:54,"TUU, TYLER IC Tulare",TUU,STATE,Tulare,5.0,"35.8752840229373, -118.701711426106",Knockdowns,Jess,,,,,,,,,,,,,,,
0999f0c6-04b8-43cd-93fa-21915bed07d2,IRWIN,2024-07-21 13:59,"RRU, DAWSON CANYON RD / CLAY CANYON DR IC Riverside",RRU,STATE,Riverside,6.0,"33.7841698681948, -117.486949037367",Pushed,AV ,Eagle IC ,,,,,,,,,,,,,,
g16-2024-07-21T21:06:18+00:00,GOES,2024-07-21 14:06,"Processed, Riverside County, 87 MW",RIV,LOCAL,Riverside,6.0,"33.9196, -117.384",Other - Enter reason,AV,Eagle IC ,,,,,,,,,,,,,,
5651301d-b594-449f-8edf-82c06ac436bc,IRWIN,2024-07-21 14:08,"RVC, BENTON RD  MURR IC Riverside",RVC,LOCAL,Riverside,6.0,"33.5908648659577, -117.121057959262",Other - Enter reason,AV,Eagle IC ,,,,,,,,,,,,,,
cf752261-36e5-44c3-ab89-61b0b0ca75af,IRWIN,2024-07-21 14:15,"RRU, CAJALCO RD / EAGLE CANYON RD IC Riverside",RRU,STATE,Riverside,6.0,"33.8243568719019, -117.502917043292",Other - Enter reason,AV,Eagle IC ,,,,,,,,,,,,,,
d6085e58-ff58-4310-9247-fb63d53326a4,IRWIN,2024-07-21 14:16,"BDF, BLUE IC San Bernardino",BDF,FEDERAL,San Bernardino,6.0,"34.1717049326507, -117.128012006859",Pushed,AV ,Blue IC ,,,,,,,,,,,,,,
1f9a8af2-36f8-4a0f-8168-11f5757ae1ec,IRWIN,2024-07-21 14:21,"RIV, HAWARDEN IC Riverside",RIV,LOCAL,Riverside,6.0,"33.9256678903098, -117.380067030331",Other - Enter reason,AV ,HawardenIC ,,,,,,,,,,,,,,
ID-2024-07-21T21:16:30Z_0052,NGFS,2024-07-21 14:22,"EAGLE, Riverside County, CA",RRU,STATE,Riverside,6.0,"33.823881183648346, -117.4899989913599",Other - Enter reason,AV ,Eagle IC ,,,,,,,,,,,,,,
d6651fec-4c96-4ac4-a0f0-ed950224c453,IRWIN,2024-07-21 14:32,"RIV, Hawarden IC Riverside",RIV,LOCAL,Riverside,6.0,"33.9255604903006, -117.380012030313",Other - Enter reason,AV,Pushed Hawarden Above ,,,,,,,,,,,,,,
ID-2024-07-21T21:31:30Z_0051,NGFS,2024-07-21 14:37,"San Diego County, CA",MCP,FEDERAL,San Diego,6.0,"33.39086445113672, -117.47456571520452",Other - Enter reason,AV ,Told to Skip,,,,,,,,,,,,,,
